"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"4997",2.18296614319574e-17,1.59553378249669,0.049,0.016,4.04350818704146e-13,"7","Gm32633"
"4998",5.11051868025937e-11,1.59037482642133,0.03,0.01,9.46621375144443e-07,"7","Lrp4"
"4999",3.0966840776218e-15,1.59037482642133,0.055,0.021,5.73598791697885e-11,"7","Zfp971"
"5000",1.64300608799389e-46,1.59001156441743,0.132,0.043,3.04334017679107e-42,"7","Pkd1l2"
"5001",4.85434250655669e-17,1.58847529350585,0.052,0.018,8.99169862489495e-13,"7","Crat"
"5002",1.1002645152443e-12,1.5864784834419,0.036,0.012,2.03801996158702e-08,"7","Aqp9"
"5003",1.50886704933079e-154,1.58580328369027,0.55,0.232,2.79487443547542e-150,"7","Socs3"
"5004",1.00120916959152e-45,1.58276546660854,0.14,0.047,1.85453974483437e-41,"7","Ccdc28b"
"5005",1.72520215493811e-174,1.58205671271421,0.516,0.189,3.19559195159185e-170,"7","St3gal1"
"5006",5.2373456093188e-73,1.58077915357811,0.203,0.066,9.70113527214122e-69,"7","Stx3"
"5007",2.14506874022794e-20,1.58066792177371,0.056,0.018,3.97331082752421e-16,"7","C5ar2"
"5008",6.70819406838599e-176,1.58064682989513,0.556,0.217,1.24255878728714e-171,"7","Rhob"
"5009",3.65726131408523e-171,1.58026010046985,0.427,0.133,6.77434513208007e-167,"7","Cfp"
"5010",2.41846218857138e-133,1.57975193900752,0.504,0.218,4.47971751189076e-129,"7","Stap1"
"5011",8.69330879200611e-09,1.57945292760094,0.025,0.009,0.000161026158754329,"7","Oaf"
"5012",2.22244935643607e-218,1.57782597862828,0.666,0.27,4.11664294292654e-214,"7","Nr4a1"
"5013",3.27108274845925e-67,1.5773285876289,0.166,0.049,6.05902657497107e-63,"7","Glis3"
"5014",1.00265858546988e-171,1.57729274713189,0.42,0.129,1.85722449786587e-167,"7","Adssl1"
"5015",2.86691124176245e-124,1.57708757305801,0.367,0.128,5.31037969311658e-120,"7","Ap1s2"
"5016",1.52732702016022e-23,1.5769603978386,0.065,0.021,2.82906783944277e-19,"7","Kcnk6"
"5017",1.61338032149268e-71,1.57625260454525,0.218,0.075,2.9884643695009e-67,"7","2310022A10Rik"
"5018",3.39858317033082e-20,1.57431051140917,0.092,0.039,6.29519560640379e-16,"7","Bambi"
"5019",2.82143488772124e-62,1.57385568529629,0.187,0.063,5.22614384252605e-58,"7","Dusp22"
"5020",4.61832809841817e-65,1.57107337272775,0.199,0.068,8.55452913669998e-61,"7","Sh2b3"
"5021",8.80530419753998e-132,1.57024941734689,0.301,0.086,1.63100649651033e-127,"7","Arhgap24"
"5022",2.97233376468419e-18,1.56981350393902,0.04,0.011,5.50565383232453e-14,"7","Il6"
"5023",0,1.56829844189159,0.982,0.51,0,"7","Zeb2"
"5024",3.20023487861471e-16,1.56616162310623,0.048,0.016,5.92779506565803e-12,"7","Clec2g"
"5025",0,1.56549879839745,0.986,0.814,0,"7","Vim"
